                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0796,                 1.0087,                 1.2568,                0.81823,                0.67405,                0.77535,                0.58197,                0.91536,                0.71824,                 1.0849,               0.006535,               0.006535,               0.006535
                     37,                 1.0757,                 1.0006,                 1.2548,                0.81758,                0.67636,                0.77715,                0.58356,                0.91349,                0.71478,                 1.0837,               0.006436,               0.006436,               0.006436
                     38,                 1.0676,                0.99502,                  1.252,                 0.8154,                 0.6797,                0.77856,                0.58531,                0.91186,                0.71151,                 1.0824,               0.006337,               0.006337,               0.006337
                     39,                 1.0593,                0.97937,                 1.2448,                0.81473,                0.68281,                0.77991,                0.58699,                 0.9103,                0.70815,                 1.0811,               0.006238,               0.006238,               0.006238
                     40,                  1.059,                0.97473,                 1.2449,                0.81628,                 0.6834,                0.78124,                0.58785,                0.90967,                0.70532,                   1.08,               0.006139,               0.006139,               0.006139
                     41,                 1.0679,                0.97264,                 1.2473,                0.81668,                0.68505,                 0.7826,                0.58906,                0.90867,                0.70285,                  1.079,                0.00604,                0.00604,                0.00604
                     42,                 1.0629,                0.96082,                 1.2476,                 0.8187,                0.68558,                 0.7837,                0.59016,                0.90737,                0.70025,                 1.0781,               0.005941,               0.005941,               0.005941
                     43,                 1.0528,                0.95552,                 1.2403,                0.82169,                0.68593,                0.78509,                0.59152,                0.90622,                0.69812,                 1.0774,               0.005842,               0.005842,               0.005842
                     44,                 1.0543,                0.94768,                 1.2374,                0.82194,                0.68676,                0.78614,                0.59258,                0.90494,                0.69583,                 1.0764,               0.005743,               0.005743,               0.005743
                     45,                 1.0503,                0.94418,                 1.2399,                0.82309,                0.68767,                0.78696,                0.59354,                0.90357,                0.69367,                 1.0754,               0.005644,               0.005644,               0.005644
                     46,                  1.044,                   0.93,                 1.2312,                0.82498,                0.68831,                0.78807,                0.59443,                0.90246,                0.69184,                 1.0744,               0.005545,               0.005545,               0.005545
                     47,                 1.0465,                0.92836,                 1.2345,                0.82615,                0.68964,                0.78909,                0.59546,                0.90153,                0.68998,                 1.0737,               0.005446,               0.005446,               0.005446
                     48,                 1.0387,                0.91833,                   1.23,                 0.8252,                0.69187,                0.79003,                0.59631,                0.90076,                0.68827,                 1.0731,               0.005347,               0.005347,               0.005347
                     49,                 1.0409,                 0.9224,                  1.231,                0.82684,                0.69133,                0.79068,                0.59715,                0.89966,                0.68645,                 1.0723,               0.005248,               0.005248,               0.005248
                     50,                 1.0494,                0.91895,                 1.2306,                0.82697,                 0.6927,                0.79172,                0.59811,                0.89905,                0.68465,                 1.0718,               0.005149,               0.005149,               0.005149
                     51,                 1.0412,                0.91079,                 1.2275,                0.82764,                0.69398,                0.79255,                0.59892,                0.89822,                0.68288,                  1.071,                0.00505,                0.00505,                0.00505
                     52,                 1.0368,                0.90439,                 1.2267,                0.82836,                0.69425,                0.79346,                0.59982,                0.89748,                 0.6812,                 1.0705,               0.004951,               0.004951,               0.004951
                     53,                 1.0285,                0.89718,                 1.2222,                 0.8291,                0.69519,                0.79433,                0.60066,                0.89678,                0.67971,                 1.0699,               0.004852,               0.004852,               0.004852
                     54,                 1.0329,                0.88941,                 1.2202,                0.83088,                0.69575,                0.79504,                0.60138,                0.89615,                0.67797,                 1.0693,               0.004753,               0.004753,               0.004753
                     55,                  1.028,                 0.8923,                 1.2209,                0.83241,                0.69607,                0.79579,                 0.6023,                0.89536,                0.67636,                 1.0687,               0.004654,               0.004654,               0.004654
                     56,                 1.0308,                 0.8795,                 1.2174,                0.83419,                0.69704,                0.79677,                0.60328,                0.89443,                0.67469,                  1.068,               0.004555,               0.004555,               0.004555
                     57,                 1.0182,                0.87644,                 1.2141,                0.83527,                0.69798,                0.79755,                0.60411,                0.89374,                0.67297,                 1.0673,               0.004456,               0.004456,               0.004456
                     58,                 1.0221,                0.86735,                 1.2161,                0.83714,                0.69822,                 0.7986,                0.60499,                0.89308,                 0.6713,                 1.0668,               0.004357,               0.004357,               0.004357
                     59,                 1.0155,                0.86421,                 1.2093,                0.83675,                0.69959,                0.79946,                0.60591,                0.89227,                0.66942,                  1.066,               0.004258,               0.004258,               0.004258
                     60,                 1.0154,                0.86366,                  1.213,                0.83815,                0.70019,                0.80016,                0.60681,                0.89145,                0.66755,                 1.0654,               0.004159,               0.004159,               0.004159
                     61,                 1.0135,                0.85206,                 1.2091,                 0.8391,                0.70098,                0.80112,                0.60765,                0.89071,                0.66579,                 1.0647,                0.00406,                0.00406,                0.00406
                     62,                 1.0117,                0.84905,                 1.2081,                0.83955,                0.70247,                0.80188,                0.60854,                0.88995,                0.66417,                  1.064,               0.003961,               0.003961,               0.003961
